Year,Month,Day,PRCP
2016,12,25,0.000000
2016,12,26,0.000000
2016,12,27,0.000000
2016,12,28,0.000000
2016,12,29,0.000000
2016,12,30,0.000000
2016,12,31,0.000000
2017,1,1,0.000000
2017,1,2,0.000000
2017,1,3,14.000000
2017,1,4,29.000000
2017,1,5,1.000000
2017,1,6,0.000000
2017,1,7,13.200000
2017,1,8,50.800000
2017,1,9,12.200000
2017,1,10,58.400000
2017,1,11,24.600000
2017,1,12,11.900000
2017,1,13,0.000000
2017,1,14,0.000000
2017,1,15,0.000000
2017,1,16,0.000000
2017,1,17,0.000000
2017,1,18,19.100000
2017,1,19,30.700000
2017,1,20,19.100000
2017,1,21,10.700000
2017,1,22,33.500000
2017,1,23,9.100000
2017,1,24,0.000000
2017,1,25,0.000000
2017,1,26,0.000000
2017,1,27,0.000000
2017,1,28,0.000000
2017,1,29,0.000000
2017,1,30,0.000000
2017,1,31,0.000000
2017,2,1,0.000000
2017,2,2,10.200000
2017,2,3,22.900000
2017,2,4,8.400000
2017,2,5,0.000000
2017,2,6,22.900000
2017,2,7,60.700000
2017,2,8,26.700000
2017,2,9,31.200000
2017,2,10,2.300000
2017,2,11,0.000000
2017,2,12,0.000000
2017,2,13,0.000000
2017,2,14,0.000000
2017,2,15,0.000000
2017,2,16,10.700000
2017,2,17,15.700000
2017,2,18,14.000000
2017,2,19,3.800000
2017,2,20,41.900000
2017,2,21,17.300000
2017,2,22,1.500000
2017,2,23,0.000000
2017,2,24,0.000000
2017,2,25,0.000000
2017,2,26,0.000000
2017,2,27,0.000000
2017,2,28,0.000000
2017,3,1,0.000000
2017,3,2,0.000000
2017,3,3,0.000000
2017,3,4,0.000000
2017,3,5,12.700000
2017,3,6,4.600000
2017,3,7,1.000000
2017,3,8,0.000000
2017,3,9,0.000000
2017,3,10,0.000000
2017,3,11,0.000000
2017,3,12,0.000000
2017,3,13,0.000000
2017,3,14,0.000000
2017,3,15,0.000000
2017,3,16,0.000000
2017,3,17,0.000000
2017,3,18,0.000000
2017,3,19,0.000000
2017,3,20,4.100000
2017,3,21,33.800000
2017,3,22,32.800000
2017,3,23,0.000000
2017,3,24,13.200000
2017,3,25,1.000000
2017,3,26,0.000000
2017,3,27,4.100000
2017,3,28,0.000000
2017,3,29,0.000000
2017,3,30,0.000000
2017,3,31,0.000000
2017,4,1,0.000000
2017,4,2,0.000000
2017,4,3,0.000000
2017,4,4,0.000000
2017,4,5,0.000000
2017,4,6,0.800000
2017,4,7,45.700000
2017,4,8,20.600000
2017,4,9,0.800000
2017,4,10,0.000000
2017,4,11,0.000000
2017,4,12,6.600000
2017,4,13,3.300000
2017,4,14,0.000000
2017,4,15,0.000000
2017,4,16,2.828000
2017,4,17,5.100000
2017,4,18,3.000000
2017,4,19,0.000000
2017,4,20,4.100000
2017,4,21,0.000000
2017,4,22,0.000000
2017,4,23,0.000000
2017,4,24,0.000000
2017,4,25,0.000000
2017,4,26,0.000000
2017,4,27,0.000000
2017,4,28,0.000000
2017,4,29,0.000000
2017,4,30,0.000000
2017,5,1,0.000000
2017,5,2,0.000000
2017,5,3,0.000000
2017,5,4,0.000000
2017,5,5,0.000000
2017,5,6,0.000000
2017,5,7,0.000000
2017,5,8,0.000000
2017,5,9,0.000000
2017,5,10,0.000000
2017,5,11,0.000000
2017,5,12,0.000000
2017,5,13,0.000000
2017,5,14,0.000000
2017,5,15,0.000000
2017,5,16,0.000000
2017,5,17,0.000000
2017,5,18,0.000000
2017,5,19,0.000000
2017,5,20,0.000000
2017,5,21,0.000000
2017,5,22,0.000000
2017,5,23,0.000000
2017,5,24,0.000000
2017,5,25,0.000000
2017,5,26,0.000000
2017,5,27,0.000000
2017,5,28,0.000000
2017,5,29,0.000000
2017,5,30,0.000000
2017,5,31,0.000000
2017,6,1,0.000000
2017,6,2,0.000000
2017,6,3,0.000000
2017,6,4,0.000000
2017,6,5,0.000000
2017,6,6,0.000000
2017,6,7,0.000000
2017,6,8,3.300000
2017,6,9,0.000000
2017,6,10,0.000000
2017,6,11,0.000000
2017,6,12,17.800000
2017,6,13,0.000000
2017,6,14,0.000000
2017,6,15,0.000000
2017,6,16,0.000000
