Name,USAF,NCDC,Date,HrMn,I,Type,QCP,Pr,Amt,I,Q,Pr,Amt,I,Q,Pr,Amt,I,Q,Pr,Amt,I,Q 
SAN CARLOS AIRPORT            ,724938,93231,20170103,1215,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170103,1235,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170103,1255,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170104,935,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170104,955,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170104,1035,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170104,1055,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170104,1255,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170105,535,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170105,555,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170105,655,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170107,1035,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170107,1055,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170107,1155,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170107,1215,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170107,1235,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170107,1255,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170107,1355,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170107,1455,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170108,535,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170108,555,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170108,755,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170108,835,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170108,855,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170108,1055,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170109,855,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170110,1055,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170110,1115,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170110,1135,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170110,1155,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
SAN CARLOS AIRPORT            ,724938,93231,20170110,1215,7,FM-15,    ,1,1,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
