Name,USAF,NCDC,Date,HrMn,I,Type,QCP,Pr,Amt,I,Q,Pr,Amt,I,Q,Pr,Amt,I,Q,Pr,Amt,I,Q 
TRAVIS AIR FORCE BASE         ,745160,23202,20170102,1158,7,FM-15,    ,1,0,2,1,6,0,2,1,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170102,1358,7,FM-15,    ,1,0,2,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170102,1458,7,FM-15,    ,3,0,2,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170102,1558,7,FM-15,    ,1,0,2,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170102,1658,7,FM-15,    ,1,0,2,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170102,1758,7,FM-15,    ,1,0,2,1,6,0,2,1,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170102,1958,7,FM-15,    ,1,1.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170102,2058,7,FM-15,    ,1,1.3,9,5,3,2.5,9,1,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170102,2358,7,FM-15,    ,6,2.5,9,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,58,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,258,7,FM-15,    ,1,0.3,9,5,3,1,9,1,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,358,7,FM-15,    ,1,0,2,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,458,7,FM-15,    ,1,0,2,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,558,7,FM-15,    ,1,1,9,5,6,2,9,1,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,658,7,FM-15,    ,1,0,2,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,758,7,FM-15,    ,1,0,2,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,858,7,FM-15,    ,1,0,2,1,3,0,2,1,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,958,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,1058,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,1158,7,FM-15,    ,1,0.3,9,5,6,1.3,9,1,24,5.8,9,1,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,1258,7,FM-15,    ,1,1,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,1358,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,1458,7,FM-15,    ,1,0.3,9,5,3,1.8,9,1,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,1558,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,1658,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,1758,7,FM-15,    ,1,0.8,9,5,6,3.3,9,1,99,999.9,9,9,99,999.9,9,9
TRAVIS AIR FORCE BASE         ,745160,23202,20170103,1858,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
