Name,USAF,NCDC,Date,HrMn,I,Type,QCP,Pr,Amt,I,Q,Pr,Amt,I,Q,Pr,Amt,I,Q,Pr,Amt,I,Q 
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,0,4,FM-12,    ,6,0.3,3,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,55,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,155,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,255,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,355,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,455,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,555,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,655,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,755,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,759,6,  SOD,    ,24,2.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,855,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,955,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1055,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1155,7,FM-15,    ,1,0,9,5,24,2.3,9,1,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1200,4,FM-12,    ,24,2.3,3,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1255,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1355,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1455,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1555,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1655,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1755,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1855,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,1955,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,2055,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,2155,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,2255,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170101,2355,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,55,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,155,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,255,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,355,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,455,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,555,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,655,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,755,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,759,6,  SOD,    ,24,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,855,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,955,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1055,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1155,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1255,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1355,7,FM-15,    ,1,0,2,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1455,7,FM-15,    ,1,0.5,9,5,3,0.5,9,1,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1555,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1655,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1755,7,FM-15,    ,1,0.3,9,5,6,1.3,9,1,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1800,4,FM-12,    ,6,1,3,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1855,7,FM-15,    ,1,0,2,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,1955,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,2055,7,FM-15,    ,1,0,9,5,3,0,2,1,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,2155,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,2255,7,FM-15,    ,1,0,2,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170102,2355,7,FM-15,    ,1,0,2,5,6,0.3,9,1,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,0,4,FM-12,    ,6,0.3,3,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,55,7,FM-15,    ,1,0,2,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,155,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,255,7,FM-15,    ,1,0,2,5,3,0,2,1,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,355,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,455,7,FM-15,    ,1,0,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,555,7,FM-15,    ,1,0.5,9,5,6,0.5,9,1,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,600,4,FM-12,    ,6,0.5,3,1,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,655,7,FM-15,    ,1,0,2,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,755,7,FM-15,    ,1,0,2,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,759,6,  SOD,    ,24,2,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
STOCKTON METROPOLITAN AIRPORT ,724920,23237,20170103,855,7,FM-15,    ,1,0,2,5,3,0,2,1,99,999.9,9,9,99,999.9,9,9
