Name,USAF,NCDC,Date,HrMn,I,Type,QCP,Pr,Amt,I,Q,Pr,Amt,I,Q,Pr,Amt,I,Q,Pr,Amt,I,Q 
HALF MOON BAY AIRPORT         ,720646,228,20170102,635,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170102,655,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170102,1215,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170102,1235,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170102,1255,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170102,1655,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,555,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,635,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,655,7,FM-15,    ,1,1,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,735,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,755,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1115,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1135,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1155,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1235,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1255,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1435,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1455,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1515,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1535,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1555,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1915,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1935,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,1955,7,FM-15,    ,1,1,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,2015,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,2035,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,2055,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,2215,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,2235,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,2255,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,2315,7,FM-15,    ,1,0.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,2335,7,FM-15,    ,1,1.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170103,2355,7,FM-15,    ,1,2.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,15,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,35,7,FM-15,    ,1,1.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,55,7,FM-15,    ,1,2.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,115,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,135,7,FM-15,    ,1,1.3,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,155,7,FM-15,    ,1,1.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,215,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,235,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,255,7,FM-15,    ,1,0.8,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,315,7,FM-15,    ,1,0.5,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,335,7,FM-15,    ,1,1,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
HALF MOON BAY AIRPORT         ,720646,228,20170104,355,7,FM-15,    ,1,1,9,5,99,999.9,9,9,99,999.9,9,9,99,999.9,9,9
