Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vap Pres (mBars),qc,Air Temp (F),qc,Rel Hum (%),qc,Dew Point (F),qc,Wind Speed (mph),qc,Wind Dir (0-360),qc,Soil Temp (F),qc
170,Concord,San Francisco Bay,1/1/2017,0100,001,0.00, ,0.00, ,0, ,8.2, ,42.7, ,88, ,39.4, ,2.9, ,206, ,43.9, 
170,Concord,San Francisco Bay,1/1/2017,0200,001,0.00, ,0.00, ,0, ,8.5, ,43.6, ,88, ,40.2, ,2.8, ,240, ,43.9, 
170,Concord,San Francisco Bay,1/1/2017,0300,001,0.00, ,0.00, ,0, ,8.5, ,44.8, ,84, ,40.3, ,3.2, ,247, ,43.8, 
170,Concord,San Francisco Bay,1/1/2017,0400,001,0.00, ,0.00, ,0, ,8.4, ,45.0, ,82, ,40.0, ,3.2, ,212, ,43.8, 
170,Concord,San Francisco Bay,1/1/2017,0500,001,0.00, ,0.00, ,0, ,8.3, ,44.6, ,83, ,39.8, ,3.3, ,190, ,43.8, 
170,Concord,San Francisco Bay,1/1/2017,0600,001,0.00, ,0.00, ,0, ,8.3, ,44.2, ,84, ,39.8, ,3.1, ,217, ,43.8, 
170,Concord,San Francisco Bay,1/1/2017,0700,001,0.00, ,0.00, ,0, ,8.4, ,44.5, ,85, ,40.1, ,1.8, ,232, ,43.8, 
170,Concord,San Francisco Bay,1/1/2017,0800,001,0.00, ,0.00, ,9, ,8.5, ,43.4, ,89, ,40.2, ,1.6, ,97, ,43.8, 
170,Concord,San Francisco Bay,1/1/2017,0900,001,0.00, ,0.00, ,94, ,8.6, ,44.2, ,88, ,40.7, ,1.9, ,226, ,43.9, 
170,Concord,San Francisco Bay,1/1/2017,1000,001,0.00, ,0.00, ,205, ,8.3, ,46.1, ,79, ,39.8, ,3.6, ,278, ,43.9, 
170,Concord,San Francisco Bay,1/1/2017,1100,001,0.00, ,0.00, ,420, ,8.0, ,45.4, ,77, ,38.7, ,5.6, ,299, ,44.0, 
170,Concord,San Francisco Bay,1/1/2017,1200,001,0.01, ,0.00, ,1008, ,6.9, ,47.0, ,63, ,35.1, ,7.0, ,287, ,44.0, 
170,Concord,San Francisco Bay,1/1/2017,1300,001,0.01, ,0.00, ,1022, ,6.6, ,47.2, ,60, ,34.0, ,6.8, ,297, ,44.1, 
170,Concord,San Francisco Bay,1/1/2017,1400,001,0.01, ,0.00, ,928, ,6.3, ,49.6, ,52, ,32.8, ,5.9, ,291, ,44.2, 
170,Concord,San Francisco Bay,1/1/2017,1500,001,0.01, ,0.00, ,715, ,5.7, ,50.6, ,45, ,30.3, ,6.3, ,285, ,44.3, 
170,Concord,San Francisco Bay,1/1/2017,1600,001,0.00, ,0.00, ,415, ,6.1, ,50.6, ,49, ,32.0, ,5.1, ,261, ,44.4, 
170,Concord,San Francisco Bay,1/1/2017,1700,001,0.00, ,0.00, ,79, ,6.3, ,48.6, ,54, ,32.8, ,5.1, ,258, ,44.5, 
170,Concord,San Francisco Bay,1/1/2017,1800,001,0.00, ,0.00, ,1, ,6.3, ,45.2, ,61, ,32.6, ,3.4, ,270, ,44.6, 
170,Concord,San Francisco Bay,1/1/2017,1900,001,0.00, ,0.00, ,0, ,6.2, ,43.7, ,65, ,32.5, ,4.0, ,257, ,44.7, 
