Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vap Pres (mBars),qc,Air Temp (F),qc,Rel Hum (%),qc,Dew Point (F),qc,Wind Speed (mph),qc,Wind Dir (0-360),qc,Soil Temp (F),qc
171,Union City,San Francisco Bay,1/1/2017,0100,001,0.00,R,0.00, ,0, ,7.7, ,42.7, ,83, ,37.9, ,1.0,I,145, ,48.0, 
171,Union City,San Francisco Bay,1/1/2017,0200,001,0.00,R,0.00, ,0, ,7.6, ,43.4, ,79, ,37.5, ,1.0,I,142, ,47.9, 
171,Union City,San Francisco Bay,1/1/2017,0300,001,0.00,R,0.00, ,0, ,7.7, ,44.0, ,79, ,37.9, ,1.0,I,142, ,47.8, 
171,Union City,San Francisco Bay,1/1/2017,0400,001,0.00,R,0.00, ,0, ,8.0, ,44.1, ,81, ,38.6, ,1.0,I,129, ,47.7, 
171,Union City,San Francisco Bay,1/1/2017,0500,001,0.00,R,0.00, ,0, ,8.0, ,44.3, ,80, ,38.6, ,1.0,I,139, ,47.7, 
171,Union City,San Francisco Bay,1/1/2017,0600,001,0.00,R,0.00, ,0, ,7.9, ,44.6, ,78, ,38.3, ,1.0,I,156, ,47.6, 
171,Union City,San Francisco Bay,1/1/2017,0700,001,0.00,R,0.00, ,0, ,8.0, ,44.5, ,80, ,38.7, ,1.0,I,148, ,47.6, 
171,Union City,San Francisco Bay,1/1/2017,0800,001,0.00,R,0.00, ,6, ,8.2, ,45.1, ,80, ,39.3, ,1.0,I,183, ,47.6, 
171,Union City,San Francisco Bay,1/1/2017,0900,001,0.00,R,0.00, ,79, ,8.0, ,46.2, ,75, ,38.8, ,1.0,I,205, ,47.6, 
171,Union City,San Francisco Bay,1/1/2017,1000,001,0.00,R,0.00, ,387, ,7.8, ,49.1, ,66, ,38.2, ,1.0,I,223, ,47.6, 
171,Union City,San Francisco Bay,1/1/2017,1100,001,0.01,R,0.00, ,782, ,7.2, ,50.1, ,58, ,36.0, ,1.0,I,255, ,47.6, 
171,Union City,San Francisco Bay,1/1/2017,1200,001,0.01,R,0.00, ,963, ,7.5, ,50.2, ,60, ,37.0, ,1.0,I,281, ,47.6, 
171,Union City,San Francisco Bay,1/1/2017,1300,001,0.01,R,0.00, ,974, ,7.7, ,50.7, ,61, ,37.7, ,1.0,I,276, ,47.7, 
171,Union City,San Francisco Bay,1/1/2017,1400,001,0.01,R,0.00, ,886, ,7.6, ,51.7, ,58, ,37.3, ,1.0,I,280, ,47.8, 
171,Union City,San Francisco Bay,1/1/2017,1500,001,0.01,R,0.00, ,682, ,7.4, ,51.9, ,56, ,36.7, ,1.0,I,280, ,48.0, 
171,Union City,San Francisco Bay,1/1/2017,1600,001,0.00,R,0.00, ,404, ,7.5, ,51.5, ,58, ,37.1, ,1.0,I,279, ,48.2, 
171,Union City,San Francisco Bay,1/1/2017,1700,001,0.00,R,0.00, ,59, ,7.6, ,49.2, ,64, ,37.5, ,1.0,I,285, ,48.5, 
