Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vap Pres (mBars),qc,Air Temp (F),qc,Rel Hum (%),qc,Dew Point (F),qc,Wind Speed (mph),qc,Wind Dir (0-360),qc,Soil Temp (F),qc
144,Petaluma East,North Coast Valleys,1/1/2017,0100,001,0.00, ,0.00, ,0, ,6.2, ,32.1, ,100, ,32.1, ,2.6, ,344, ,48.5, 
144,Petaluma East,North Coast Valleys,1/1/2017,0200,001,0.00, ,0.00, ,0, ,6.4, ,33.1, ,100, ,33.0, ,2.6, ,358, ,48.4, 
144,Petaluma East,North Coast Valleys,1/1/2017,0300,001,0.00, ,0.00, ,0, ,5.7, ,30.8, ,97, ,30.1, ,4.0, ,342, ,48.3, 
144,Petaluma East,North Coast Valleys,1/1/2017,0400,001,0.00, ,0.00, ,0, ,4.9, ,26.9, ,99, ,26.8, ,2.7, ,332, ,48.2, 
144,Petaluma East,North Coast Valleys,1/1/2017,0500,001,0.00, ,0.00, ,0, ,4.7, ,25.7, ,100, ,25.7, ,1.9, ,333, ,48.1, 
144,Petaluma East,North Coast Valleys,1/1/2017,0600,001,0.00, ,0.00, ,0, ,4.5, ,24.1, ,100, ,24.1, ,1.5, ,335, ,48.1, 
144,Petaluma East,North Coast Valleys,1/1/2017,0700,001,0.00, ,0.00, ,0, ,4.4, ,23.7, ,100, ,23.7, ,2.2, ,330, ,48.0, 
144,Petaluma East,North Coast Valleys,1/1/2017,0800,001,0.00, ,0.00, ,15, ,4.3, ,23.3, ,100, ,23.3, ,2.3, ,333, ,47.9, 
144,Petaluma East,North Coast Valleys,1/1/2017,0900,001,0.00, ,0.00, ,145, ,4.4, ,23.7, ,100, ,23.7, ,3.0, ,336, ,47.9, 
144,Petaluma East,North Coast Valleys,1/1/2017,1000,001,0.00, ,0.00, ,319, ,5.0, ,26.5, ,100, ,26.5, ,2.9, ,304, ,47.8, 
144,Petaluma East,North Coast Valleys,1/1/2017,1100,001,0.00, ,0.00, ,732, ,5.6, ,29.2, ,100, ,29.2, ,3.4, ,300, ,47.7, 
144,Petaluma East,North Coast Valleys,1/1/2017,1200,001,0.01, ,0.00, ,988, ,6.3, ,33.2, ,99, ,32.9, ,3.4, ,312, ,47.7, 
144,Petaluma East,North Coast Valleys,1/1/2017,1300,001,0.01, ,0.00, ,1025, ,5.3, ,38.3, ,68, ,28.6, ,4.3, ,315, ,47.7, 
144,Petaluma East,North Coast Valleys,1/1/2017,1400,001,0.01, ,0.00, ,955, ,4.7, ,40.3, ,55, ,25.6, ,5.6, ,316, ,47.7, 
144,Petaluma East,North Coast Valleys,1/1/2017,1500,001,0.01, ,0.00, ,720, ,4.4, ,40.4, ,52, ,24.3, ,6.7, ,305, ,47.9, 
144,Petaluma East,North Coast Valleys,1/1/2017,1600,001,0.00,Y,0.00, ,417, ,4.9, ,39.1,Y,60,Y,26.5,Y,7.6, ,269, ,48.1, 
144,Petaluma East,North Coast Valleys,1/1/2017,1700,001,0.00,Y,0.00, ,106, ,4.9, ,37.0,Y,66,Y,26.8,Y,8.1, ,262, ,48.3, 
144,Petaluma East,North Coast Valleys,1/1/2017,1800,001,0.00,Y,0.00, ,1, ,5.1, ,35.0,Y,73,Y,27.3,Y,5.1, ,234, ,48.5, 
144,Petaluma East,North Coast Valleys,1/1/2017,1900,001,0.00,Y,0.00, ,0, ,4.7, ,31.7,Y,78,Y,25.7,Y,1.9, ,324, ,48.7, 
144,Petaluma East,North Coast Valleys,1/1/2017,2000,001,0.00,Y,0.00, ,0, ,4.7, ,27.7,Y,91,Y,25.4,Y,1.6, ,68, ,48.8, 
