Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vap Pres (mBars),qc,Air Temp (F),qc,Rel Hum (%),qc,Dew Point (F),qc,Wind Speed (mph),qc,Wind Dir (0-360),qc,Soil Temp (F),qc
47,Brentwood,San Francisco Bay,1/1/2017,0100,001,0.00, ,0.00, ,0, ,7.8, ,45.5, ,75, ,38.0, ,2.9, ,250, ,47.3, 
47,Brentwood,San Francisco Bay,1/1/2017,0200,001,0.00, ,0.00, ,0, ,8.3, ,47.4, ,74, ,39.7, ,3.0, ,211, ,47.0, 
47,Brentwood,San Francisco Bay,1/1/2017,0300,001,0.00, ,0.00, ,0, ,8.2, ,45.4, ,79, ,39.4, ,3.0, ,182, ,46.9, 
47,Brentwood,San Francisco Bay,1/1/2017,0400,001,0.00, ,0.00, ,0, ,7.6, ,42.4, ,82, ,37.4, ,2.2, ,155, ,46.6, 
47,Brentwood,San Francisco Bay,1/1/2017,0500,001,0.00, ,0.00, ,0, ,7.3, ,41.4, ,83, ,36.6, ,4.1, ,197, ,46.3, 
47,Brentwood,San Francisco Bay,1/1/2017,0600,001,0.00, ,0.00, ,0, ,7.3, ,39.8, ,87, ,36.3, ,1.2, ,328, ,46.0, 
47,Brentwood,San Francisco Bay,1/1/2017,0700,001,0.00, ,0.00, ,0, ,7.4, ,39.6, ,90, ,36.8, ,3.3, ,202, ,45.6, 
47,Brentwood,San Francisco Bay,1/1/2017,0800,001,0.00, ,0.00, ,21, ,7.4, ,40.3, ,87, ,36.7, ,2.9, ,203, ,45.2, 
47,Brentwood,San Francisco Bay,1/1/2017,0900,001,0.00, ,0.00, ,181, ,7.5, ,43.2, ,78, ,37.0, ,2.0, ,309, ,45.0, 
47,Brentwood,San Francisco Bay,1/1/2017,1000,001,0.00, ,0.00, ,408, ,9.5, ,53.1, ,69, ,43.2, ,2.1, ,352, ,44.9, 
47,Brentwood,San Francisco Bay,1/1/2017,1100,001,0.01, ,0.00, ,663, ,11.0, ,57.6, ,68, ,47.1, ,2.6, ,12, ,45.3, 
47,Brentwood,San Francisco Bay,1/1/2017,1200,001,0.01, ,0.00, ,803, ,11.4, ,61.4, ,61, ,48.0, ,2.6, ,3, ,46.2, 
47,Brentwood,San Francisco Bay,1/1/2017,1300,001,0.01, ,0.00, ,828, ,10.7, ,62.6, ,55, ,46.4, ,3.3, ,46, ,47.4, 
47,Brentwood,San Francisco Bay,1/1/2017,1400,001,0.01, ,0.00, ,663, ,9.4, ,64.0, ,46, ,42.8, ,3.6, ,33, ,48.8, 
47,Brentwood,San Francisco Bay,1/1/2017,1500,001,0.01, ,0.00, ,518, ,8.2, ,65.4, ,38, ,39.3, ,4.1, ,359, ,49.9, 
47,Brentwood,San Francisco Bay,1/1/2017,1600,001,0.00, ,0.00, ,372, ,8.6, ,65.8, ,39, ,40.5, ,3.3, ,350, ,50.6, 
47,Brentwood,San Francisco Bay,1/1/2017,1700,001,0.00, ,0.00, ,96, ,9.2, ,62.1, ,48, ,42.3, ,4.1, ,332, ,51.1, 
47,Brentwood,San Francisco Bay,1/1/2017,1800,001,0.00, ,0.00, ,1, ,8.9, ,56.8, ,56, ,41.4, ,2.2, ,295, ,51.1, 
47,Brentwood,San Francisco Bay,1/1/2017,1900,001,0.00, ,0.00, ,0, ,8.3, ,53.8, ,59, ,39.7, ,3.5, ,209, ,50.7, 
47,Brentwood,San Francisco Bay,1/1/2017,2000,001,0.00, ,0.00, ,0, ,8.0, ,51.0, ,62, ,38.7, ,1.8, ,211, ,50.1, 
47,Brentwood,San Francisco Bay,1/1/2017,2100,001,0.00, ,0.00, ,0, ,7.4, ,48.7, ,63, ,36.9, ,3.4, ,198, ,49.6, 
47,Brentwood,San Francisco Bay,1/1/2017,2200,001,0.00, ,0.00, ,0, ,7.3, ,48.2, ,64, ,36.5, ,2.6, ,202, ,49.0, 
47,Brentwood,San Francisco Bay,1/1/2017,2300,001,0.00, ,0.00, ,0, ,6.9, ,46.1, ,65, ,35.1, ,2.9, ,194, ,48.5, 
47,Brentwood,San Francisco Bay,1/1/2017,2400,001,0.00, ,0.00, ,0, ,6.9, ,45.1, ,68, ,35.0, ,2.2, ,184, ,48.0, 
47,Brentwood,San Francisco Bay,1/2/2017,0100,002,0.00, ,0.00, ,0, ,6.6, ,42.5, ,71, ,34.0, ,2.1, ,55, ,47.6, 
47,Brentwood,San Francisco Bay,1/2/2017,0200,002,0.00, ,0.00, ,0, ,7.6, ,42.9, ,81, ,37.6, ,2.1, ,260, ,47.2, 
47,Brentwood,San Francisco Bay,1/2/2017,0300,002,0.00, ,0.00, ,0, ,7.2, ,41.8, ,80, ,36.1, ,1.7, ,232, ,46.8, 
47,Brentwood,San Francisco Bay,1/2/2017,0400,002,0.00, ,0.00, ,0, ,7.1, ,40.9, ,82, ,35.8, ,1.2, ,233, ,46.4, 
47,Brentwood,San Francisco Bay,1/2/2017,0500,002,0.00, ,0.00, ,0, ,7.3, ,41.6, ,82, ,36.4, ,1.8, ,244, ,46.1, 
47,Brentwood,San Francisco Bay,1/2/2017,0600,002,0.00, ,0.00, ,0, ,7.0, ,41.7, ,78, ,35.3, ,1.5, ,316, ,46.0, 
47,Brentwood,San Francisco Bay,1/2/2017,0700,002,0.00, ,0.00, ,0, ,7.2, ,42.0, ,80, ,36.2, ,1.7, ,241, ,45.9, 
47,Brentwood,San Francisco Bay,1/2/2017,0800,002,0.00, ,0.00, ,14, ,7.5, ,41.2, ,85, ,37.0, ,2.2, ,314, ,45.8, 
47,Brentwood,San Francisco Bay,1/2/2017,0900,002,0.00, ,0.00, ,95, ,7.8, ,42.3, ,84, ,38.0, ,2.5, ,307, ,45.7, 
47,Brentwood,San Francisco Bay,1/2/2017,1000,002,0.00, ,0.00, ,251, ,9.2, ,47.1, ,83, ,42.3, ,2.6, ,337, ,45.8, 
47,Brentwood,San Francisco Bay,1/2/2017,1100,002,0.00, ,0.00, ,485, ,9.5, ,51.4, ,74, ,43.3, ,2.2, ,10, ,46.1, 
47,Brentwood,San Francisco Bay,1/2/2017,1200,002,0.01, ,0.00, ,572, ,10.0, ,56.4, ,64, ,44.4, ,3.4, ,357, ,46.9, 
47,Brentwood,San Francisco Bay,1/2/2017,1300,002,0.01, ,0.00, ,544, ,10.3, ,59.6, ,59, ,45.3, ,3.3, ,357, ,48.0, 
47,Brentwood,San Francisco Bay,1/2/2017,1400,002,0.00, ,0.00, ,253, ,10.2, ,59.1, ,59, ,45.0, ,2.9, ,3, ,49.1, 
47,Brentwood,San Francisco Bay,1/2/2017,1500,002,0.00, ,0.00, ,203, ,10.2, ,58.9, ,60, ,44.9, ,2.7, ,339, ,49.9, 
