Year,Month,Day,Hour,HOURLYPrecip
2017,1,21,2,0.011811
2017,1,21,3,0.129921
2017,1,21,4,0.000000
2017,1,21,5,0.000000
2017,1,21,6,0.000000
2017,1,21,7,0.000000
2017,1,21,8,0.000000
2017,1,21,9,0.000000
2017,1,21,10,0.019685
2017,1,21,11,0.019685
2017,1,21,13,0.078740
2017,1,21,14,0.011811
2017,1,21,15,0.000000
2017,1,21,16,0.019685
2017,1,21,17,0.110236
2017,1,21,19,0.000000
2017,1,21,20,0.019685
2017,1,21,21,0.011811
2017,1,21,22,0.000000
2017,1,21,23,0.000000
2017,1,22,0,0.031496
2017,1,22,1,0.000000
2017,1,22,2,0.039370
2017,1,22,3,0.039370
2017,1,22,4,0.059055
2017,1,22,5,0.051181
2017,1,22,6,0.039370
2017,1,22,7,0.078740
2017,1,22,8,0.051181
2017,1,22,9,0.129921
2017,1,22,10,0.181102
2017,1,22,11,0.129921
2017,1,22,12,0.129921
2017,1,22,13,0.429134
2017,1,22,14,0.169291
2017,1,22,15,0.000000
2017,1,22,16,0.011811
2017,1,22,17,0.740157
2017,1,22,23,0.161417
2017,1,23,0,0.110236
2017,1,23,1,0.090551
2017,1,23,2,0.000000
2017,1,23,5,0.200787
2017,1,23,6,0.000000
2017,1,23,8,0.000000
2017,1,23,11,0.059055
2017,1,23,12,0.019685
2017,1,23,13,0.000000
2017,1,23,14,0.019685
2017,1,23,17,0.019685
2017,1,23,21,0.000000
2017,1,23,23,0.000000
2017,1,24,5,0.000000
2017,1,24,6,0.000000
2017,1,24,8,0.000000
2017,1,24,10,0.000000
2017,1,24,11,0.000000
2017,1,25,15,0.000000
2017,1,25,17,0.000000
2017,1,29,10,0.000000
2017,1,29,11,0.000000
2017,2,2,8,0.000000
2017,2,2,9,0.000000
2017,2,2,10,0.078740
2017,2,2,11,0.011811
2017,2,2,12,0.019685
2017,2,2,13,0.019685
2017,2,2,14,0.031496
2017,2,2,15,0.019685
2017,2,2,16,0.011811
2017,2,2,17,0.098425
2017,2,2,23,0.000000
2017,2,3,0,0.039370
2017,2,3,1,0.007874
2017,2,3,2,0.000000
2017,2,3,5,0.051181
2017,2,3,10,0.007874
2017,2,3,11,0.000000
2017,2,3,12,0.177165
2017,2,3,13,0.137795
2017,2,3,14,0.059055
2017,2,3,15,0.066929
2017,2,3,16,0.007874
2017,2,3,17,0.460630
2017,2,3,21,0.007874
2017,2,3,22,0.000000
2017,2,3,23,0.000000
2017,2,4,0,0.000000
2017,2,4,1,0.000000
2017,2,4,2,0.000000
2017,2,4,3,0.000000
2017,2,4,4,0.000000
2017,2,4,5,0.039370
2017,2,4,6,0.007874
2017,2,4,7,0.000000
2017,2,4,8,0.011811
2017,2,4,9,0.039370
2017,2,4,10,0.011811
2017,2,4,11,0.059055
2017,2,4,15,0.000000
2017,2,4,17,0.000000
2017,2,4,19,0.011811
2017,2,4,20,0.011811
2017,2,4,23,0.011811
2017,2,5,11,0.011811
2017,2,6,0,0.000000
2017,2,6,1,0.039370
2017,2,6,2,0.118110
2017,2,6,3,0.011811
2017,2,6,4,0.000000
2017,2,6,5,0.031496
2017,2,6,6,0.011811
2017,2,6,8,0.011811
2017,2,6,9,0.000000
2017,2,6,11,0.011811
2017,2,6,14,0.110236
2017,2,6,15,0.011811
2017,2,6,16,0.011811
2017,2,6,17,0.039370
2017,2,6,18,0.090551
2017,2,6,19,0.000000
2017,2,6,20,0.059055
2017,2,6,21,0.000000
2017,2,6,22,0.011811
2017,2,6,23,0.011811
2017,2,7,1,0.011811
2017,2,7,2,0.039370
2017,2,7,3,0.039370
2017,2,7,4,0.059055
2017,2,7,5,0.110236
2017,2,7,6,0.169291
2017,2,7,7,0.141732
2017,2,7,8,0.149606
2017,2,7,9,0.208661
2017,2,7,10,0.188976
2017,2,7,11,0.149606
2017,2,7,12,0.039370
2017,2,7,13,0.098425
2017,2,7,14,0.149606
2017,2,7,15,0.031496
2017,2,7,16,0.019685
2017,2,7,17,0.000000
2017,2,8,7,0.011811
2017,2,8,8,0.051181
2017,2,8,9,0.051181
2017,2,8,10,0.031496
2017,2,8,11,0.141732
2017,2,8,12,0.011811
2017,2,8,13,0.011811
2017,2,8,14,0.070866
2017,2,8,15,0.070866
2017,2,8,16,0.031496
2017,2,8,17,0.031496
2017,2,8,18,0.011811
2017,2,8,19,0.070866
2017,2,8,20,0.051181
2017,2,8,21,0.000000
2017,2,8,22,0.019685
2017,2,8,23,0.011811
2017,2,9,11,0.381890
2017,2,9,15,0.000000
2017,2,9,16,0.011811
2017,2,9,17,0.000000
2017,2,9,18,0.011811
2017,2,9,19,0.070866
2017,2,9,20,0.090551
2017,2,9,21,0.098425
2017,2,9,22,0.059055
2017,2,9,23,0.098425
2017,2,10,0,0.000000
2017,2,10,2,0.000000
2017,2,10,3,0.000000
2017,2,10,4,0.011811
2017,2,10,5,0.031496
2017,2,10,11,0.468504
2017,2,10,13,0.000000
2017,2,10,14,0.000000
2017,2,10,17,0.000000
