Year,Month,Day,Hour,HOURLYPrecip
2017,1,3,12,0.031496
2017,1,4,9,0.011811
2017,1,4,10,0.011811
2017,1,4,12,0.019685
2017,1,5,5,0.031496
2017,1,5,6,0.019685
2017,1,7,10,0.031496
2017,1,7,11,0.019685
2017,1,7,12,0.019685
2017,1,7,13,0.011811
2017,1,7,14,0.011811
2017,1,8,5,0.019685
2017,1,8,7,0.011811
2017,1,8,8,0.031496
2017,1,8,10,0.031496
2017,1,9,8,0.031496
2017,1,10,10,0.019685
2017,1,10,11,0.019685
2017,1,10,12,0.090551
2017,1,10,14,0.059055
2017,1,12,10,0.051181
2017,1,12,11,0.019685
2017,1,12,12,0.039370
2017,1,12,13,0.078740
2017,1,19,12,0.019685
2017,1,19,13,0.118110
2017,1,20,12,0.629921
2017,1,20,14,0.011811
2017,1,21,11,0.011811
2017,1,21,12,0.059055
2017,1,21,13,0.090551
2017,1,22,12,0.039370
2017,1,22,13,0.039370
2017,1,23,10,0.019685
2017,1,24,5,0.011811
2017,2,3,11,0.039370
2017,2,3,13,0.019685
2017,2,6,6,0.039370
2017,2,6,7,0.118110
2017,2,7,8,0.011811
2017,2,7,9,0.011811
2017,2,7,10,0.011811
2017,2,7,13,0.019685
2017,2,7,14,0.031496
2017,2,8,8,0.070866
2017,2,10,12,0.019685
2017,2,16,11,0.039370
2017,2,16,12,0.019685
2017,2,17,10,0.011811
2017,2,17,11,0.059055
2017,2,17,12,0.039370
2017,2,18,10,0.118110
2017,2,20,8,0.031496
2017,2,20,10,0.051181
2017,2,20,11,0.039370
2017,2,20,12,0.031496
2017,2,20,13,0.011811
2017,2,21,8,0.019685
2017,2,21,9,0.200787
2017,2,21,13,0.039370
2017,2,25,11,0.019685
2017,2,27,10,0.031496
2017,3,5,5,0.169291
2017,3,5,6,0.019685
2017,3,5,9,0.011811
2017,3,5,10,0.031496
2017,3,5,11,0.070866
2017,3,5,13,0.098425
2017,3,5,14,0.011811
2017,3,6,8,0.011811
2017,3,6,10,0.011811
2017,3,6,12,0.011811
2017,3,21,6,0.019685
2017,3,21,12,0.011811
2017,3,21,13,0.011811
2017,3,22,8,0.011811
2017,3,22,9,0.161417
2017,3,22,10,0.039370
2017,3,22,11,0.039370
2017,4,7,6,0.039370
2017,4,7,7,0.031496
2017,4,7,8,0.059055
2017,4,8,6,0.181102
2017,4,13,7,0.011811
2017,4,13,13,0.011811
2017,4,20,7,0.086614
2017,4,20,8,0.149606
2017,9,12,4,0.019685
2017,10,20,4,0.019685
2017,10,20,6,0.011811
2017,10,20,7,0.031496
2017,10,20,8,0.019685
2017,11,27,8,0.129921
2017,11,27,9,0.019685
2017,11,27,10,0.011811
2017,11,27,11,0.011811
2017,12,3,8,0.019685
2017,12,20,10,0.118110
