Year,Month,Day,Hour,HOURLYPrecip
2017,1,1,7,0.000000
2017,1,2,3,0.019685
2017,1,2,7,0.051181
2017,1,2,8,0.011811
2017,1,2,11,0.039370
2017,1,2,12,0.011811
2017,1,2,13,0.019685
2017,1,3,4,0.011811
2017,1,3,7,0.098425
2017,1,3,8,0.011811
2017,1,3,9,0.031496
2017,1,3,10,0.011811
2017,1,3,11,0.031496
2017,1,3,12,0.011811
2017,1,3,13,0.011811
2017,1,3,14,0.011811
2017,1,3,15,0.019685
2017,1,3,19,0.031496
2017,1,3,20,0.031496
2017,1,3,21,0.039370
2017,1,3,22,0.031496
2017,1,3,23,0.051181
2017,1,4,0,0.019685
2017,1,4,1,0.031496
2017,1,4,2,0.011811
2017,1,4,3,0.011811
2017,1,4,4,0.011811
2017,1,4,5,0.011811
2017,1,4,7,0.401575
2017,1,4,8,0.149606
2017,1,4,9,0.161417
2017,1,4,10,0.031496
2017,1,4,11,0.149606
2017,1,4,12,0.051181
2017,1,4,13,0.019685
2017,1,4,14,0.011811
2017,1,4,22,0.011811
2017,1,4,23,0.019685
2017,1,5,0,0.031496
2017,1,5,1,0.019685
2017,1,5,2,0.051181
2017,1,5,3,0.098425
2017,1,5,4,0.039370
2017,1,5,5,0.011811
2017,1,5,6,0.031496
2017,1,5,7,0.889764
2017,1,5,18,0.011811
2017,1,6,7,0.011811
2017,1,7,7,0.000000
2017,1,7,9,0.011811
2017,1,7,10,0.031496
2017,1,7,12,0.078740
2017,1,7,13,0.141732
2017,1,7,14,0.118110
2017,1,7,15,0.078740
2017,1,7,16,0.011811
2017,1,7,19,0.011811
2017,1,8,4,0.031496
2017,1,8,5,0.059055
2017,1,8,6,0.039370
2017,1,8,7,0.208661
2017,1,8,8,0.181102
2017,1,8,9,0.039370
2017,1,8,10,0.161417
2017,1,8,11,0.090551
2017,1,8,12,0.011811
2017,1,8,13,0.039370
2017,1,8,14,0.188976
2017,1,8,15,0.141732
2017,1,8,16,0.031496
2017,1,8,17,0.019685
2017,1,8,18,0.059055
2017,1,8,19,0.051181
2017,1,8,20,0.051181
2017,1,8,21,0.011811
2017,1,8,23,0.070866
2017,1,9,1,0.019685
2017,1,9,2,0.051181
2017,1,9,3,0.070866
2017,1,9,7,1.460630
2017,1,9,8,0.031496
2017,1,9,10,0.011811
2017,1,9,23,0.031496
2017,1,10,0,0.039370
2017,1,10,2,0.011811
2017,1,10,3,0.011811
2017,1,10,5,0.011811
2017,1,10,6,0.011811
2017,1,10,7,0.169291
2017,1,10,8,0.011811
2017,1,10,9,0.031496
2017,1,10,10,0.039370
2017,1,10,11,0.051181
2017,1,10,12,0.051181
2017,1,10,13,0.031496
2017,1,10,14,0.019685
2017,1,10,15,0.031496
2017,1,10,16,0.031496
2017,1,10,17,0.031496
2017,1,10,18,0.051181
2017,1,10,19,0.070866
2017,1,10,20,0.051181
