Year,Month,Day,Hour,HOURLYPrecip
2017,1,2,6,0.011811
2017,1,2,12,0.031496
2017,1,2,16,0.031496
2017,1,3,5,0.011811
2017,1,3,6,0.039370
2017,1,3,7,0.019685
2017,1,3,11,0.011811
2017,1,3,12,0.019685
2017,1,3,14,0.011811
2017,1,3,15,0.011811
2017,1,3,19,0.039370
2017,1,3,20,0.031496
2017,1,3,22,0.031496
2017,1,3,23,0.110236
2017,1,4,0,0.098425
2017,1,4,1,0.070866
2017,1,4,2,0.031496
2017,1,4,3,0.039370
2017,1,4,4,0.019685
2017,1,4,5,0.019685
2017,1,4,6,0.019685
2017,1,4,7,0.051181
2017,1,4,8,0.019685
2017,1,4,9,0.031496
2017,1,4,11,0.059055
2017,1,4,12,0.019685
2017,1,4,13,0.011811
2017,1,4,14,0.019685
2017,1,5,0,0.011811
2017,1,5,2,0.019685
2017,1,5,3,0.051181
2017,1,5,4,0.011811
2017,1,5,5,0.011811
2017,1,5,6,0.019685
2017,1,7,10,0.039370
2017,1,7,11,0.051181
2017,1,7,12,0.019685
2017,1,7,13,0.011811
2017,1,7,14,0.011811
2017,1,7,15,0.011811
2017,1,7,16,0.011811
2017,1,7,19,0.011811
2017,1,8,4,0.070866
2017,1,8,5,0.051181
2017,1,8,6,0.051181
2017,1,8,7,0.090551
2017,1,8,8,0.078740
2017,1,8,9,0.051181
2017,1,8,10,0.059055
2017,1,8,12,0.011811
2017,1,8,13,0.059055
2017,1,8,14,0.161417
2017,1,8,15,0.070866
2017,1,8,16,0.051181
2017,1,8,17,0.051181
2017,1,8,18,0.011811
2017,1,10,20,0.011811
2017,1,10,21,0.110236
2017,1,10,22,0.078740
2017,1,10,23,0.011811
2017,1,11,1,0.031496
2017,1,11,2,0.149606
2017,1,11,3,0.090551
2017,1,11,4,0.011811
2017,1,11,12,0.011811
2017,1,11,13,0.070866
2017,1,11,17,0.011811
2017,1,12,9,0.078740
2017,1,12,10,0.051181
2017,1,12,11,0.019685
2017,1,12,12,0.011811
2017,1,12,13,0.011811
2017,1,18,11,0.011811
2017,1,18,12,0.019685
2017,1,18,17,0.019685
2017,1,18,18,0.019685
2017,1,18,19,0.019685
2017,1,18,20,0.078740
2017,1,18,21,0.039370
2017,1,18,22,0.019685
2017,1,18,23,0.039370
2017,1,19,0,0.019685
2017,1,19,1,0.051181
2017,1,19,2,0.208661
2017,1,19,3,0.240157
2017,1,19,12,0.039370
2017,1,19,16,0.011811
2017,1,19,21,0.019685
2017,1,20,0,0.011811
2017,1,20,6,0.031496
2017,1,20,8,0.070866
2017,1,20,9,0.090551
2017,1,20,10,0.039370
2017,1,20,11,0.078740
2017,1,20,12,0.901575
2017,1,20,14,0.039370
2017,1,20,15,0.019685
2017,1,20,17,0.039370
2017,1,20,19,0.039370
2017,1,20,20,0.011811
2017,1,20,21,0.039370
2017,1,20,22,0.031496
2017,1,20,23,0.011811
2017,1,21,0,0.059055
2017,1,21,2,0.051181
2017,1,22,0,0.031496
2017,1,22,1,0.039370
2017,1,22,2,0.098425
2017,1,22,3,0.039370
2017,1,22,4,0.011811
2017,1,22,8,0.039370
2017,1,22,9,0.019685
2017,1,22,10,0.019685
2017,1,22,11,0.070866
2017,1,22,12,0.169291
2017,1,22,13,0.011811
2017,1,22,21,0.011811
2017,1,22,22,0.059055
2017,1,22,23,0.161417
2017,1,23,0,0.011811
2017,1,23,5,0.019685
2017,1,23,14,0.011811
2017,1,24,2,0.031496
2017,1,24,4,0.070866
2017,1,24,5,0.011811
2017,2,2,9,0.019685
2017,2,2,10,0.011811
2017,2,2,13,0.019685
2017,2,2,14,0.011811
2017,2,3,11,0.118110
2017,2,3,12,0.118110
2017,2,3,13,0.086614
2017,2,4,6,0.098425
2017,2,4,7,0.027559
2017,2,4,10,0.059055
2017,2,4,13,0.011811
2017,2,4,15,0.011811
2017,2,6,1,0.059055
2017,2,6,2,0.011811
2017,2,6,4,0.031496
2017,2,6,6,0.039370
2017,2,6,7,0.011811
2017,2,6,8,0.031496
2017,2,6,15,0.019685
2017,2,6,17,0.019685
2017,2,6,19,0.019685
2017,2,7,1,0.019685
2017,2,7,2,0.019685
2017,2,7,3,0.059055
2017,2,7,4,0.039370
2017,2,7,5,0.070866
2017,2,7,6,0.039370
2017,2,7,7,0.051181
2017,2,7,8,0.078740
2017,2,7,9,0.011811
2017,2,7,10,0.011811
2017,2,7,11,0.011811
2017,2,7,12,0.031496
2017,2,7,13,0.059055
2017,2,7,14,0.090551
2017,2,7,15,0.051181
2017,2,7,16,0.098425
2017,2,7,17,0.078740
2017,2,7,18,0.019685
2017,2,8,7,0.019685
2017,2,8,8,0.039370
2017,2,8,9,0.019685
2017,2,16,11,0.118110
2017,2,16,12,0.149606
2017,2,16,13,0.011811
2017,2,17,19,0.019685
2017,2,17,23,0.078740
2017,2,18,0,0.070866
2017,2,18,2,0.078740
2017,2,18,3,0.031496
2017,2,19,18,0.011811
2017,2,20,8,0.070866
2017,2,20,9,0.051181
2017,2,20,10,0.220472
2017,2,20,11,0.181102
2017,2,20,12,0.051181
2017,2,20,15,0.011811
2017,2,20,16,0.039370
2017,2,20,17,0.051181
2017,2,20,18,0.031496
2017,2,20,19,0.031496
2017,2,20,20,0.051181
2017,2,20,21,0.051181
2017,2,20,22,0.118110
2017,2,20,23,0.110236
2017,2,21,0,0.181102
2017,2,21,1,0.011811
2017,2,21,6,0.011811
2017,2,21,12,0.070866
2017,2,22,0,0.011811
2017,2,22,1,0.051181
2017,2,22,2,0.039370
2017,2,22,3,0.051181
2017,2,27,3,0.031496
2017,2,27,9,0.011811
2017,3,5,0,0.011811
2017,3,5,2,0.090551
2017,3,5,3,0.098425
2017,3,5,4,0.311024
2017,3,5,5,0.141732
2017,3,5,9,0.011811
2017,3,5,11,0.031496
2017,3,5,12,0.051181
2017,3,5,13,0.031496
2017,3,5,15,0.011811
2017,3,6,8,0.031496
2017,3,6,10,0.019685
2017,3,6,12,0.011811
2017,3,6,14,0.031496
2017,3,6,15,0.019685
2017,3,6,19,0.011811
2017,3,20,23,0.011811
2017,3,21,2,0.011811
2017,3,21,3,0.200787
2017,3,21,4,0.169291
2017,3,21,5,0.141732
2017,3,21,6,0.070866
2017,3,21,7,0.011811
2017,3,21,11,0.011811
2017,3,21,12,0.011811
2017,3,21,13,0.169291
2017,3,21,15,0.011811
2017,3,22,8,0.271654
2017,3,22,9,0.011811
2017,3,22,13,0.019685
2017,3,24,12,0.019685
2017,3,24,13,0.011811
2017,3,24,15,0.019685
2017,3,24,16,0.059055
2017,3,24,17,0.118110
2017,3,24,18,0.098425
2017,3,24,19,0.059055
2017,3,24,20,0.059055
2017,3,27,3,0.051181
2017,3,30,11,0.011811
2017,4,7,0,0.090551
2017,4,7,1,0.161417
2017,4,7,2,0.110236
2017,4,7,3,0.181102
2017,4,7,4,0.059055
2017,4,7,5,0.129921
2017,4,7,6,0.208661
2017,4,7,7,0.220472
2017,4,8,5,0.350394
2017,4,8,6,0.011811
2017,4,12,5,0.019685
2017,4,12,6,0.011811
2017,4,12,7,0.011811
2017,4,12,9,0.011811
2017,4,12,10,0.011811
2017,4,12,11,0.031496
2017,4,12,12,0.031496
2017,4,12,13,0.019685
2017,4,12,14,0.031496
2017,4,12,15,0.011811
2017,4,13,4,0.011811
2017,4,13,6,0.011811
2017,4,13,12,0.011811
2017,4,13,14,0.011811
2017,4,13,20,0.011811
2017,4,16,17,0.011811
2017,4,16,19,0.039370
2017,4,16,20,0.019685
