Year,Month,Day,Hour,HOURLYPrecip
2017,1,2,8,0.011811
2017,1,2,16,0.011811
2017,1,2,21,0.011811
2017,1,2,23,0.031496
2017,1,3,0,0.059055
2017,1,3,3,0.039370
2017,1,3,4,0.019685
2017,1,3,5,0.011811
2017,1,3,6,0.011811
2017,1,3,11,0.031496
2017,1,3,12,0.031496
2017,1,3,13,0.019685
2017,1,3,14,0.011811
2017,1,3,17,0.011811
2017,1,3,20,0.011811
2017,1,3,21,0.011811
2017,1,3,23,0.011811
2017,1,4,1,0.011811
2017,1,4,2,0.011811
2017,1,4,4,0.011811
2017,1,4,8,0.011811
2017,1,4,20,0.011811
2017,1,5,9,0.011811
2017,1,7,14,0.011811
2017,1,8,7,0.011811
2017,1,8,12,0.011811
2017,1,8,16,0.011811
2017,1,8,17,0.011811
2017,1,10,10,0.011811
2017,1,11,4,0.011811
2017,1,12,10,0.011811
2017,1,19,3,0.011811
2017,1,19,12,0.011811
2017,1,19,21,0.011811
2017,1,20,10,0.011811
2017,1,20,12,0.019685
2017,1,21,0,0.019685
2017,1,21,1,0.019685
2017,1,21,2,0.019685
2017,1,21,6,0.011811
2017,1,21,7,0.011811
2017,1,21,16,0.011811
2017,1,22,1,0.019685
2017,1,22,4,0.011811
2017,1,22,5,0.011811
2017,1,22,8,0.019685
2017,1,22,10,0.011811
2017,1,22,11,0.011811
2017,1,22,23,0.019685
2017,2,2,10,0.019685
2017,2,2,11,0.078740
2017,2,2,12,0.070866
2017,2,2,13,0.090551
2017,2,2,14,0.039370
2017,2,2,21,0.011811
2017,2,2,22,0.011811
2017,2,4,13,0.011811
2017,2,4,16,0.039370
2017,2,4,17,0.031496
2017,2,4,18,0.011811
2017,2,4,19,0.011811
2017,2,5,6,0.011811
2017,2,6,17,0.011811
2017,2,11,6,0.031496
2017,2,11,7,0.259843
2017,2,11,8,0.389764
2017,2,11,9,0.440945
2017,2,11,10,0.448819
2017,2,11,11,0.318898
2017,2,11,12,0.429134
2017,2,11,13,0.409449
2017,2,11,14,0.440945
2017,2,11,15,0.318898
2017,2,11,16,0.011811
2017,2,12,4,0.039370
2017,2,12,5,0.118110
2017,2,12,6,0.078740
2017,2,12,7,0.110236
2017,2,12,8,0.208661
2017,2,12,9,0.200787
2017,2,12,10,0.318898
2017,2,12,11,0.338583
2017,2,12,12,0.141732
2017,2,12,15,0.031496
2017,2,13,2,0.011811
2017,2,14,9,0.011811
2017,2,14,10,0.011811
2017,2,14,11,0.011811
2017,2,14,14,0.011811
2017,2,19,13,0.011811
2017,2,22,9,0.240157
2017,2,22,10,0.460630
2017,2,22,11,0.488189
2017,2,22,12,0.488189
2017,2,22,13,0.401575
2017,2,22,14,0.220472
2017,2,22,15,0.200787
2017,2,22,16,0.118110
2017,2,23,1,0.039370
2017,2,23,2,0.220472
2017,2,23,3,0.271654
2017,2,23,4,0.259843
2017,2,23,5,0.279528
2017,2,23,6,0.291339
2017,2,23,7,0.240157
2017,2,23,8,0.299213
2017,2,23,9,0.440945
2017,2,23,10,0.311024
2017,2,23,11,0.429134
2017,2,23,12,0.389764
2017,2,23,13,0.488189
2017,2,23,14,0.401575
2017,2,23,15,0.381890
2017,2,23,16,0.149606
2017,2,23,17,0.039370
2017,2,24,1,0.011811
2017,2,24,2,0.078740
2017,2,24,3,0.149606
2017,2,24,4,0.200787
2017,2,24,5,0.311024
2017,2,24,6,0.299213
2017,2,24,7,0.311024
2017,2,24,8,0.291339
2017,2,24,9,0.429134
2017,2,24,10,0.358268
2017,2,24,11,0.421260
2017,2,24,12,0.429134
2017,2,24,13,0.570866
2017,2,24,14,0.539370
2017,2,24,15,0.220472
2017,2,24,16,0.098425
2017,2,24,17,0.019685
2017,2,25,1,0.011811
2017,2,25,2,0.098425
2017,2,25,3,0.169291
2017,2,25,4,0.271654
2017,2,25,5,0.251969
2017,2,25,6,0.188976
2017,2,25,7,0.208661
2017,2,25,8,0.299213
2017,2,25,9,0.259843
2017,2,25,10,0.149606
2017,2,25,11,0.200787
2017,2,25,12,0.169291
2017,2,25,13,0.401575
2017,2,25,14,0.259843
2017,2,25,15,0.240157
2017,2,25,16,0.019685
2017,2,26,13,0.011811
2017,2,26,14,0.011811
2017,2,26,15,0.031496
2017,2,27,10,0.011811
2017,2,27,12,0.031496
2017,2,27,14,0.011811
2017,2,27,17,0.011811
2017,2,28,5,0.011811
2017,3,1,9,0.011811
2017,3,1,16,0.019685
2017,3,2,15,0.011811
2017,3,2,16,0.011811
2017,3,3,3,0.011811
2017,3,3,7,0.011811
2017,3,3,11,0.011811
2017,3,5,11,0.031496
2017,3,5,13,0.019685
2017,3,5,20,0.011811
2017,3,6,8,0.011811
2017,3,6,10,0.051181
2017,3,6,13,0.019685
2017,3,6,16,0.011811
2017,3,7,3,0.011811
2017,3,7,7,0.019685
2017,3,7,14,0.011811
2017,3,11,16,0.011811
2017,3,11,17,0.011811
2017,3,14,15,0.011811
2017,3,15,9,0.011811
2017,3,15,10,0.011811
2017,3,15,11,0.011811
2017,3,15,12,0.011811
2017,3,20,14,0.011811
2017,3,21,2,0.011811
2017,3,21,4,0.011811
2017,3,21,7,0.019685
2017,3,21,8,0.011811
2017,3,22,10,0.011811
2017,3,24,13,0.011811
2017,8,4,20,0.019685
2017,8,5,20,0.011811
